359/5787 428/5787 535/5787 539/1929 2848/5787
68.2 1/94483 1/94602 1/117360 1/216431 6/237893
68.26 1/94483 1/94602 1/117360 4/216431 1/237893
68.3 1/94483 1/94602 1/117360 1/216431 5/237893
68.35 1/94483 1/94602 1/117360 2/216431 1/237893
68.45 1/94483 1/94602 1/117360 1/216431 2/237893
68.5 1/94483 1/94602 1/117360 1/216431 6/237893
68.6 1/94483 1/94602 1/117360 1/216431 3/237893
68.8 1/94483 1/31534 1/117360 1/216431 6/237893
68.82 1/94483 1/94602 1/117360 1/216431 4/237893
68.9 1/94483 1/94602 1/117360 1/216431 3/237893
68.98 2/94483 1/94602 1/117360 1/216431 1/237893
680 1/94483 1/47301 1/117360 2/216431 2/237893
680,000 2/94483 1/94602 1/117360 1/216431 2/237893
681,000 1/94483 1/94602 1/117360 1/216431 2/237893
681,800 1/94483 1/94602 1/117360 2/216431 1/237893
685.8 1/94483 1/94602 1/117360 1/216431 2/237893
686,000 1/94483 1/94602 1/117360 1/216431 5/237893
686.9 1/94483 1/94602 1/117360 1/216431 2/237893
687,000 1/94483 1/94602 1/117360 2/216431 4/237893
688 1/94483 1/94602 1/117360 1/216431 7/237893
688,000 1/94483 1/94602 1/117360 1/216431 3/237893
689 1/94483 1/94602 1/29340 1/216431 1/237893
689,038 1/94483 1/47301 1/117360 1/216431 1/237893
689,700 1/94483 1/47301 1/117360 1/216431 1/237893
69 3/94483 1/47301 1/29340 9/216431 33/237893
69,000 1/94483 1/31534 1/117360 1/216431 3/237893
69,127,000 1/94483 1/94602 1/117360 1/216431 2/237893
69.0 1/94483 1/31534 1/117360 1/216431 2/237893
69.02 1/94483 1/94602 1/58680 1/216431 1/237893
69.1 1/94483 1/94602 1/117360 1/216431 9/237893
69.13 1/94483 1/94602 1/117360 1/216431 3/237893
69.2 1/94483 1/94602 1/117360 1/216431 4/237893
69.4 1/94483 1/94602 1/117360 1/216431 3/237893
69.48 1/94483 1/94602 1/117360 1/216431 2/237893
69.6 1/94483 1/94602 1/117360 1/216431 4/237893
69.65 1/94483 1/94602 1/117360 3/216431 1/237893
69.7 1/94483 1/94602 1/117360 1/216431 4/237893
69.8 1/94483 1/94602 1/117360 1/216431 5/237893
69.86 1/94483 1/94602 1/117360 1/216431 2/237893
69.9 1/94483 1/94602 1/117360 1/216431 3/237893
690,000 1/94483 1/94602 1/117360 2/216431 2/237893
691.3 1/94483 1/94602 1/117360 1/216431 2/237893
692 2/94483 1/94602 1/117360 1/216431 3/237893
692,000 1/94483 1/94602 1/117360 1/216431 2/237893
692.7 1/94483 1/94602 1/117360 1/216431 2/237893
695,398 1/94483 1/94602 1/117360 1/216431 2/237893
696 1/94483 1/94602 1/117360 1/216431 2/237893
696,000 1/94483 1/94602 1/117360 1/216431 3/237893
697.0 1/94483 1/94602 1/117360 1/216431 2/237893
698,000 1/94483 1/94602 1/117360 1/216431 2/237893
699.1 1/94483 1/47301 1/117360 1/216431 1/237893
6p 1/94483 1/94602 1/117360 1/216431 3/237893
7 2/94483 3/31534 1/23472 8/216431 21/237893
7,000 2/94483 5/94602 1/117360 2/216431 8/237893
7,000-9,000 1/94483 1/47301 1/117360 1/216431 1/237893
7,005,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,012,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,015,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,018,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,034,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,041,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,046,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,050,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,052 1/94483 1/94602 1/117360 1/216431 2/237893
7,052,964 1/94483 1/94602 1/117360 1/216431 3/237893
7,054,709 1/94483 1/94602 1/117360 1/216431 2/237893
7,070,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,072,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,075,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,076,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,090,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,096,886 1/94483 1/94602 1/117360 1/216431 2/237893
7,105,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,110,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,112,480 1/94483 1/94602 1/117360 1/216431 3/237893
7,114,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,115,248 1/94483 1/94602 1/117360 1/216431 3/237893
7,121,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,156,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,168,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,169,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,187,941 1/94483 1/94602 1/117360 1/216431 3/237893
7,200,349 1/94483 1/94602 1/117360 1/216431 2/237893
7,209,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,214,900 1/94483 1/94602 1/117360 1/216431 3/237893
7,225,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,236,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,239,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,258,688 1/94483 1/94602 1/117360 1/216431 2/237893
7,261,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,271,668 1/94483 1/94602 1/117360 1/216431 2/237893
7,274,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,277,418 1/94483 1/94602 1/117360 1/216431 2/237893
7,289,973 1/94483 1/94602 1/117360 1/216431 2/237893
7,291,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,292,000 1/94483 1/94602 1/117360 2/216431 2/237893
7,299,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,300,000 1/94483 1/94602 1/117360 1/216431 5/237893
7,305,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,308,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,336,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,338,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,365,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,368,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,382,802 1/94483 1/94602 1/117360 1/216431 4/237893
7,392,586 1/94483 1/94602 1/117360 1/216431 2/237893
7,400,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,413,328 1/94483 1/94602 1/117360 1/216431 2/237893
7,424,292 1/94483 1/94602 1/117360 2/216431 1/237893
7,438,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,442,825 1/94483 1/94602 1/117360 1/216431 2/237893
7,472,000 1/94483 1/94602 1/117360 2/216431 2/237893
7,474,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,476,433 1/94483 1/94602 1/117360 1/216431 2/237893
7,481,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,492,000 1/94483 1/94602 1/117360 1/216431 4/237893
7,492,686 1/94483 1/94602 1/117360 1/216431 2/237893
7,497,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,500 2/94483 1/47301 1/117360 2/216431 1/237893
7,500,000 1/94483 1/94602 1/117360 3/216431 2/237893
7,500-9,500 1/94483 1/47301 1/117360 1/216431 1/237893
7,508,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,521,643 1/94483 1/94602 1/117360 2/216431 1/237893
7,527,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,564,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,571,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,577,207 1/94483 1/94602 1/117360 1/216431 2/237893
7,582,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,585,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,589,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,598,522 1/94483 1/94602 1/117360 1/216431 2/237893
7,599,017 1/94483 1/94602 1/117360 1/216431 2/237893
7,600,000 1/94483 1/94602 1/117360 1/216431 4/237893
7,619,863 1/94483 1/94602 1/117360 1/216431 3/237893
7,625,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,658,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,666,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,671,855 1/94483 1/94602 1/117360 1/216431 2/237893
7,684,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,695,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,699,241 1/94483 1/94602 1/117360 1/216431 2/237893
7,700,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,710,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,730,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,732,544 1/94483 1/94602 1/117360 1/216431 2/237893
7,745,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,749,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,752,800 1/94483 1/94602 1/117360 1/216431 3/237893
7,767,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,791,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,800 1/94483 1/94602 1/117360 2/216431 2/237893
7,815,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,833,424 1/94483 1/94602 1/117360 1/216431 2/237893
7,835,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,854,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,869,353 1/94483 1/94602 1/117360 2/216431 1/237893
7,896,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,900,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,928,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,960,000 1/94483 1/94602 1/117360 1/216431 3/237893
7,972,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,977,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,979,000 1/94483 1/94602 1/117360 1/216431 2/237893
7,981,198 1/94483 1/94602 1/117360 1/216431 2/237893
7,997,000 1/94483 1/94602 1/117360 1/216431 2/237893
7-1/2 1/94483 1/94602 1/29340 2/216431 12/237893
7-1/4 1/94483 1/94602 1/19560 1/216431 2/237893
7-1/8 2/94483 1/94602 1/117360 2/216431 1/237893
7-3/4 1/94483 1/94602 1/5868 1/216431 2/237893
7-5/8 1/94483 1/94602 1/117360 2/216431 1/237893
7-7/8 1/94483 1/94602 1/58680 2/216431 1/237893
7-apr-1987 3/94483 1/31534 1/23472 1/216431 1/237893
7-eleven 1/94483 1/94602 1/117360 2/216431 2/237893
7.0 1/94483 5/94602 1/117360 3/216431 4/237893
7.01 1/94483 1/94602 1/117360 1/216431 3/237893
7.06 1/94483 1/94602 1/117360 1/216431 3/237893
7.07 1/94483 1/94602 1/117360 4/216431 2/237893
7.0p 1/94483 1/94602 1/117360 1/216431 3/237893
7.1 1/94483 4/47301 1/39120 6/216431 16/237893
7.16 1/94483 1/47301 1/39120 1/216431 1/237893
7.2 1/94483 2/47301 1/117360 12/216431 11/237893
7.20 1/94483 1/47301 1/117360 2/216431 1/237893
7.21 1/94483 1/94602 1/117360 1/216431 2/237893
7.23 1/94483 1/94602 1/117360 1/216431 3/237893
7.24 1/94483 1/94602 1/117360 1/216431 2/237893
7.25 7/94483 1/94602 1/58680 1/216431 2/237893
7.26 1/94483 1/94602 1/117360 1/216431 3/237893
7.27 1/94483 1/94602 1/117360 2/216431 3/237893
7.3 2/94483 5/94602 1/117360 3/216431 9/237893
7.33 1/94483 1/94602 1/117360 3/216431 1/237893
7.35 4/94483 1/94602 1/117360 1/216431 2/237893
7.4 5/94483 1/94602 1/117360 7/216431 6/237893
7.40 1/94483 1/94602 1/117360 2/216431 1/237893
7.42 1/94483 1/94602 1/117360 1/216431 2/237893
7.44 1/94483 1/94602 1/117360 1/216431 3/237893
7.45 1/94483 1/94602 1/117360 1/216431 2/237893
7.46 1/94483 1/94602 1/117360 1/216431 2/237893
7.5 8/94483 1/15767 1/23472 9/216431 19/237893
7.50 1/94483 1/94602 1/117360 6/216431 4/237893
7.51 1/94483 1/94602 1/58680 1/216431 1/237893
7.52 1/94483 1/94602 1/117360 1/216431 2/237893
7.55 1/94483 1/94602 1/117360 1/216431 2/237893
7.6 4/94483 1/31534 1/58680 5/216431 15/237893
7.60 1/94483 1/47301 1/117360 2/216431 2/237893
7.62 1/94483 1/94602 1/117360 1/216431 2/237893
7.64 1/94483 1/94602 1/117360 1/216431 3/237893
7.645 1/94483 1/94602 1/117360 1/216431 2/237893
7.65 1/94483 1/94602 1/58680 1/216431 2/237893
7.66 1/94483 1/94602 1/58680 1/216431 1/237893
7.67p 1/94483 1/94602 1/117360 1/216431 2/237893
7.69 1/94483 1/94602 1/117360 1/216431 2/237893
7.7 2/94483 1/15767 1/58680 4/216431 14/237893
7.73 2/94483 1/31534 1/117360 1/216431 1/237893
7.74 1/94483 1/94602 1/117360 2/216431 1/237893
7.75 1/94483 1/94602 1/58680 5/216431 2/237893
7.8 2/94483 1/15767 1/117360 4/216431 10/237893
7.80 1/94483 1/94602 1/117360 1/216431 4/237893
7.83 1/94483 1/94602 1/58680 1/216431 2/237893
7.86p 1/94483 1/94602 1/117360 1/216431 2/237893
7.9 2/94483 1/47301 1/117360 6/216431 8/237893
7.93 1/94483 1/94602 1/39120 1/216431 2/237893
7/1/82 1/94483 1/47301 1/117360 1/216431 1/237893
7/32 1/94483 1/94602 1/58680 1/216431 1/237893
7/8 2/94483 1/94602 1/39120 3/216431 5/237893
70 17/94483 3/31534 1/39120 26/216431 46/237893
70,000 1/94483 5/47301 1/117360 3/216431 3/237893
70.1 1/94483 1/94602 1/117360 1/216431 6/237893
70.3 1/94483 1/94602 1/117360 1/216431 2/237893
70.5 1/94483 1/94602 1/117360 3/216431 5/237893
70.6 1/94483 1/94602 1/117360 1/216431 2/237893
70.8 1/94483 1/94602 1/117360 1/216431 5/237893
70.9 2/94483 1/94602 1/117360 1/216431 4/237893
70.94 1/94483 1/94602 1/117360 1/216431 2/237893
700 2/94483 2/47301 1/9780 3/216431 9/237893
700,000 7/94483 5/47301 1/117360 4/216431 12/237893
700-800 1/94483 1/94602 1/117360 2/216431 1/237893
700p 1/94483 1/94602 1/117360 4/216431 1/237893
702,000 1/94483 1/94602 1/117360 1/216431 2/237893
704,803 1/94483 1/94602 1/117360 1/216431 2/237893
705,888 1/94483 1/47301 1/117360 1/216431 1/237893
706,000 1/94483 1/94602 1/117360 1/216431 2/237893
707.9 1/94483 1/94602 1/117360 2/216431 1/237893
709,787 1/94483 1/94602 1/117360 1/216431 2/237893
71 2/94483 1/31534 1/117360 9/216431 29/237893
71,000 1/94483 1/94602 1/117360 2/216431 4/237893
71,144 1/94483 1/47301 1/117360 1/216431 1/237893
71.0 1/94483 1/94602 1/117360 1/216431 5/237893
71.1 1/94483 1/94602 1/117360 2/216431 2/237893
71.2 1/94483 1/94602 1/117360 1/216431 3/237893
71.3 1/94483 1/94602 1/39120 1/216431 3/237893
71.4 1/94483 1/47301 1/117360 1/216431 2/237893
71.6 1/94483 1/94602 1/117360 2/216431 7/237893
71.7 1/94483 1/94602 1/117360 1/216431 3/237893
71.75 2/94483 1/94602 1/117360 1/216431 1/237893
71.85 1/94483 1/94602 1/117360 1/216431 2/237893
71.9 2/94483 1/94602 1/117360 1/216431 3/237893
710 1/94483 1/94602 1/117360 1/216431 4/237893
710p 1/94483 1/94602 1/117360 3/216431 1/237893
712,000 1/94483 1/94602 1/117360 1/216431 2/237893
7124/3 2/94483 1/94602 1/117360 1/216431 1/237893
7125/1 2/94483 1/94602 1/117360 1/216431 1/237893
713,000 1/94483 1/94602 1/117360 1/216431 3/237893
713,300 1/94483 1/94602 1/117360 1/216431 3/237893
714,000 2/94483 1/94602 1/117360 1/216431 3/237893
714,263 1/94483 1/94602 1/117360 1/216431 2/237893
715,000 1/94483 1/94602 1/117360 1/216431 3/237893
715.5 1/94483 1/94602 1/117360 1/216431 2/237893
716,000 1/94483 1/94602 1/117360 1/216431 4/237893
717 1/94483 1/94602 1/117360 1/216431 2/237893
719.9 1/94483 1/94602 1/117360 1/216431 2/237893
72 4/94483 2/47301 1/39120 3/216431 36/237893
72,000 1/94483 1/94602 1/117360 1/216431 9/237893
72.0 1/94483 1/94602 1/117360 1/216431 4/237893
72.1 1/94483 1/94602 1/23472 1/216431 3/237893
72.2 1/94483 1/94602 1/117360 1/216431 3/237893
72.3 1/94483 1/94602 1/117360 3/216431 4/237893
72.4 1/94483 1/94602 1/117360 1/216431 3/237893
72.50 1/94483 1/94602 1/117360 1/216431 3/237893
72.7 1/94483 1/94602 1/39120 1/216431 3/237893
72.9 1/94483 1/94602 1/117360 1/216431 3/237893
720,000 1/94483 1/47301 1/117360 1/216431 7/237893
720,126 1/94483 1/94602 1/117360 1/216431 2/237893
721,000 1/94483 1/94602 1/117360 1/216431 3/237893
721,937 1/94483 1/94602 1/117360 1/216431 3/237893
7219/9 2/94483 1/94602 1/117360 1/216431 1/237893
722.6 1/94483 1/94602 1/117360 1/216431 2/237893
7220/7 2/94483 1/94602 1/117360 1/216431 1/237893
7224/7 2/94483 1/94602 1/117360 1/216431 1/237893
7224/8 2/94483 1/94602 1/117360 1/216431 1/237893
725,000 1/94483 1/94602 1/117360 1/216431 3/237893
725,023 1/94483 1/47301 1/117360 1/216431 1/237893
725.2 1/94483 1/94602 1/117360 3/216431 1/237893
725.9 1/94483 1/94602 1/117360 1/216431 2/237893
726,000 1/94483 1/94602 1/117360 1/216431 4/237893
727,000 1/94483 1/94602 1/117360 1/216431 2/237893
727,432 1/94483 1/94602 1/117360 1/216431 2/237893
727,781 1/94483 1/94602 1/117360 1/216431 2/237893
728 1/94483 1/94602 1/39120 1/216431 1/237893
728,000 1/94483 1/94602 1/117360 1/216431 4/237893
729,000 1/94483 1/47301 1/117360 1/216431 3/237893
729.4 1/94483 1/47301 1/117360 1/216431 1/237893
73 3/94483 1/94602 1/29340 9/216431 28/237893
73,000 1/94483 1/31534 1/117360 2/216431 8/237893
73,614 1/94483 1/94602 1/117360 1/216431 2/237893
73.0 1/94483 1/94602 1/117360 1/216431 3/237893
73.1 1/94483 1/94602 1/117360 1/216431 6/237893
73.2 1/94483 1/94602 1/117360 1/216431 2/237893
73.3 1/94483 1/94602 1/117360 1/216431 2/237893
73.38 1/94483 1/94602 1/117360 1/216431 2/237893
73.5 1/94483 1/94602 1/117360 1/216431 3/237893
73.6 1/94483 1/94602 1/117360 1/216431 3/237893
73.7 1/94483 1/94602 1/117360 1/216431 5/237893
73.9 1/94483 1/47301 1/117360 1/216431 2/237893
731 1/94483 1/94602 1/117360 1/216431 3/237893
731,000 1/94483 1/94602 1/117360 1/216431 4/237893
732,000 1/94483 1/94602 1/117360 1/216431 5/237893
733,000 1/94483 1/94602 1/117360 1/216431 3/237893
734,609 1/94483 1/94602 1/117360 1/216431 3/237893
736.3 1/94483 1/94602 1/117360 1/216431 3/237893
737,917 1/94483 1/94602 1/117360 1/216431 2/237893
737.0 1/94483 1/94602 1/117360 1/216431 2/237893
737.3 1/94483 1/47301 1/117360 1/216431 1/237893
738 1/94483 1/94602 1/117360 1/216431 3/237893
738,000 1/94483 1/94602 1/117360 2/216431 2/237893
738.2 1/94483 1/94602 1/117360 1/216431 2/237893
738.9 1/94483 1/94602 1/117360 1/216431 2/237893
739 1/94483 1/94602 1/117360 1/216431 3/237893
739,146 1/94483 1/94602 1/117360 1/216431 2/237893
739.1 1/94483 1/94602 1/117360 1/216431 2/237893
74 3/94483 1/31534 1/39120 5/216431 17/237893
74,000 1/94483 1/94602 1/117360 2/216431 4/237893
74,225 1/94483 1/94602 1/117360 2/216431 1/237893
74-7/8 1/94483 1/94602 1/117360 2/216431 1/237893
74.0 1/94483 1/94602 1/117360 1/216431 3/237893
74.09 1/94483 1/94602 1/117360 1/216431 2/237893
74.2 1/94483 1/94602 1/117360 2/216431 1/237893
74.4 1/94483 1/94602 1/117360 1/216431 3/237893
74.5 1/94483 1/94602 1/117360 2/216431 4/237893
74.7 1/94483 1/94602 1/117360 1/216431 3/237893
74.8 1/94483 1/94602 1/117360 1/216431 4/237893
74.9 1/94483 1/94602 1/117360 2/216431 4/237893
74.91 1/94483 1/94602 1/117360 1/216431 2/237893
740 2/94483 1/94602 1/117360 3/216431 2/237893
740.2 1/94483 1/94602 1/117360 1/216431 2/237893
741 1/94483 1/94602 1/117360 1/216431 3/237893
742 1/94483 1/94602 1/117360 2/216431 2/237893
743,000 1/94483 1/94602 1/117360 1/216431 3/237893
743.7 1/94483 1/94602 1/39120 1/216431 1/237893
745,641 1/94483 1/94602 1/117360 1/216431 3/237893
746,004 1/94483 1/94602 1/117360 1/216431 2/237893
747-300 1/94483 1/94602 1/117360 1/216431 3/237893
748,000 1/94483 1/94602 1/117360 1/216431 2/237893
748,628 1/94483 1/94602 1/117360 1/216431 2/237893
75 6/94483 5/47301 1/23472 22/216431 33/237893
75,000 3/94483 1/15767 1/117360 1/216431 3/237893
75,160 1/94483 1/47301 1/117360 1/216431 1/237893
75,200 1/94483 1/47301 1/117360 1/216431 1/237893
75,793 1/94483 1/94602 1/117360 1/216431 2/237893
75.0 2/94483 1/47301 1/117360 1/216431 3/237893
75.05 1/94483 1/94602 1/117360 1/216431 3/237893
75.17 1/94483 1/47301 1/117360 1/216431 1/237893
75.3 1/94483 1/94602 1/117360 1/216431 4/237893
75.4 1/94483 1/94602 1/117360 1/216431 4/237893
75.49 1/94483 1/31534 1/117360 1/216431 1/237893
75.53 1/94483 1/94602 1/117360 1/216431 2/237893
75.68 1/94483 1/47301 1/117360 1/216431 1/237893
75.7 2/94483 1/94602 1/117360 1/216431 3/237893
75.8 1/94483 1/94602 1/117360 1/216431 3/237893
75.89 1/94483 1/47301 1/117360 1/216431 1/237893
750 4/94483 1/31534 1/7824 2/216431 2/237893
750,000 1/94483 5/94602 1/117360 4/216431 8/237893
750p 1/94483 1/94602 1/117360 2/216431 2/237893
751,563 1/94483 1/47301 1/117360 1/216431 1/237893
752 2/94483 1/94602 1/117360 1/216431 2/237893
752,234 1/94483 1/94602 1/117360 1/216431 3/237893
752,297 1/94483 1/94602 1/117360 4/216431 1/237893
753,000 1/94483 1/47301 1/117360 1/216431 2/237893
753,948 1/94483 1/94602 1/117360 1/216431 2/237893
753.5 1/94483 1/94602 1/117360 1/216431 3/237893
753.8 1/94483 1/94602 1/117360 2/216431 1/237893
754,000 1/94483 1/94602 1/117360 1/216431 3/237893
754.45 1/94483 1/94602 1/117360 1/216431 2/237893
755,605 1/94483 1/94602 1/117360 1/216431 3/237893
756 1/94483 1/94602 1/117360 1/216431 9/237893
756,000 1/94483 1/94602 1/117360 1/216431 2/237893
757 1/94483 1/94602 1/117360 4/216431 2/237893
758,000 1/94483 1/94602 1/117360 1/216431 2/237893
758,620 1/94483 1/94602 1/117360 1/216431 2/237893
759 1/94483 1/94602 1/58680 1/216431 4/237893
759.3 1/94483 1/94602 1/117360 1/216431 2/237893
76 1/94483 1/47301 1/58680 4/216431 28/237893
76,000 1/94483 1/94602 1/117360 2/216431 5/237893
76,300 1/94483 1/47301 1/117360 1/216431 1/237893
76,340 1/94483 1/47301 1/117360 1/216431 1/237893
76,591 1/94483 1/94602 1/117360 1/216431 2/237893
76,888 1/94483 1/94602 1/117360 1/216431 3/237893
76-1/8 1/94483 1/94602 1/117360 1/216431 2/237893
76.09 1/94483 1/47301 1/117360 1/216431 1/237893
76.2 1/94483 1/94602 1/117360 1/216431 3/237893
76.29 1/94483 1/47301 1/117360 1/216431 1/237893
76.3 1/94483 1/94602 1/117360 1/216431 4/237893
76.6 1/94483 1/94602 1/117360 1/216431 4/237893
76.7 1/94483 1/31534 1/117360 1/216431 1/237893
76.9 1/94483 1/94602 1/117360 1/216431 5/237893
760,000 1/94483 1/94602 1/117360 1/216431 2/237893
760,500 1/94483 1/94602 1/117360 2/216431 1/237893
760.1 1/94483 1/94602 1/117360 1/216431 2/237893
760.2 1/94483 1/94602 1/117360 1/216431 2/237893
761,000 1/94483 1/94602 1/117360 1/216431 3/237893
763,000 1/94483 1/94602 1/117360 2/216431 2/237893
764 1/94483 1/94602 1/117360 1/216431 3/237893
765 1/94483 1/94602 1/117360 2/216431 2/237893
765,000 1/94483 1/94602 1/117360 1/216431 3/237893
765,808 1/94483 1/94602 1/117360 1/216431 2/237893
765.2 1/94483 1/94602 1/117360 1/216431 2/237893
766,000 1/94483 1/94602 1/117360 1/216431 3/237893
766,066 1/94483 1/94602 1/117360 1/216431 2/237893
766,185 1/94483 1/94602 1/117360 1/216431 2/237893
767 1/94483 1/94602 1/117360 3/216431 1/237893
768,000 1/94483 1/94602 1/117360 1/216431 3/237893
768,683 1/94483 1/94602 1/117360 1/216431 3/237893
769.60/773.45 1/94483 1/94602 1/58680 1/216431 1/237893
77 2/94483 1/94602 1/117360 2/216431 35/237893
77,000 1/94483 1/94602 1/117360 1/216431 3/237893
77,400 1/94483 1/94602 1/117360 1/216431 2/237893
77,804 1/94483 1/94602 1/117360 1/216431 2/237893
77,971,000 1/94483 1/94602 1/117360 1/216431 2/237893
77-3/8 1/94483 1/94602 1/117360 2/216431 2/237893
77.0 1/94483 1/94602 1/117360 1/216431 3/237893
77.3 1/94483 1/94602 1/117360 1/216431 5/237893
77.4 1/94483 1/94602 1/117360 1/216431 3/237893
77.6 2/94483 1/94602 1/117360 1/216431 4/237893
77.7 1/94483 1/94602 1/117360 1/216431 3/237893
77.72 1/94483 1/94602 1/117360 1/216431 2/237893
77.8 1/94483 1/94602 1/117360 1/216431 2/237893
77.9 1/94483 1/94602 1/117360 1/216431 4/237893
772,703 1/94483 1/94602 1/117360 1/216431 2/237893
773,000 1/94483 1/94602 1/117360 1/216431 3/237893
773,729 1/94483 1/94602 1/117360 1/216431 2/237893
773.05/776.92 1/94483 1/94602 1/58680 1/216431 1/237893
774,000 1/94483 1/94602 1/117360 1/216431 2/237893
774,704 1/94483 1/47301 1/117360 1/216431 1/237893
775 1/94483 1/94602 1/58680 1/216431 2/237893
775,000 1/94483 1/94602 1/117360 1/216431 2/237893
776,000 1/94483 1/94602 1/117360 1/216431 3/237893
776.0 1/94483 1/94602 1/117360 1/216431 3/237893
777 1/94483 1/94602 1/117360 1/216431 4/237893
777,667 1/94483 1/94602 1/117360 1/216431 2/237893
777.00/780.89 1/94483 1/94602 1/58680 1/216431 1/237893
777.5 1/94483 1/94602 1/117360 1/216431 4/237893
778,000 1/94483 1/94602 1/117360 1/216431 3/237893
779,981 1/94483 1/94602 1/117360 1/216431 2/237893
78 3/94483 1/47301 1/117360 3/216431 22/237893
78,000 1/94483 1/94602 1/117360 1/216431 5/237893
78,246 1/94483 1/94602 1/117360 1/216431 2/237893
78,600 1/94483 1/47301 1/117360 1/216431 1/237893
78-1/4 1/94483 1/94602 1/117360 2/216431 1/237893
78.0 1/94483 1/47301 1/117360 1/216431 1/237893
78.1 2/94483 1/94602 1/117360 1/216431 2/237893
78.10 1/94483 1/31534 1/117360 1/216431 1/237893
78.2 1/94483 1/94602 1/117360 1/216431 3/237893
78.3 2/94483 1/94602 1/117360 1/216431 4/237893
78.32 1/94483 1/94602 1/117360 1/216431 2/237893
78.45 1/94483 1/47301 1/117360 1/216431 1/237893
78.7 2/94483 1/94602 1/117360 1/216431 3/237893
78.93 1/94483 1/94602 1/117360 1/216431 3/237893
780,000 1/94483 1/94602 1/117360 2/216431 3/237893
780.00/783.90 1/94483 1/94602 1/39120 1/216431 1/237893
781.95/785.86 1/94483 1/94602 1/58680 1/216431 1/237893
782 1/94483 1/94602 1/117360 2/216431 2/237893
782.50/786.41 1/94483 1/94602 1/39120 1/216431 1/237893
783,000 1/94483 1/94602 1/117360 1/216431 3/237893
784 3/94483 1/94602 1/117360 1/216431 1/237893
784,000 1/94483 1/94602 1/117360 1/216431 6/237893
