359 428 535 1617 2848
stafford 0 0 0 0 3
67,556,000 0 2 0 0 0
bean 0 9 0 3 0
56,885,000 0 2 0 0 0
gradual 5 8 13 1 6
surplus 0 9 13 0 0
surpass 0 3 0 0 2
hundredweight 0 2 0 0 0
cwt 0 7 0 2 0
long 19 29 45 46 43
onc 5 4 7 14 6
differenti 13 14 7 0 0
greatli 1 3 1 1 4
faster 2 3 11 3 4
visibl 1 1 4 2 1
wider 3 2 4 2 2
weaker 2 1 8 1 3
inroad 0 2 0 0 1
middl 27 6 6 6 16
east 41 14 6 16 20
consumpt 35 18 11 0 1
capita 0 2 1 0 1
substitut 1 4 4 2 3
coars 0 21 0 0 0
india 6 10 0 1 0
mid-1970 1 2 0 0 0
epitop 0 0 0 0 1
epto 0 0 0 0 1
216,697 0 0 0 0 1
47,344 0 0 0 0 1
144,403 0 0 0 0 1
118,391 0 0 0 0 1
cypress 0 0 0 2 1
cypsa 0 0 0 0 1
3.26 1 0 0 0 6
2.75 1 0 0 4 5
3,479,744 0 0 0 0 1
2,939,619 0 0 0 0 1
5.58 0 0 0 0 1
2.20 3 0 1 5 9
5,964,454 0 0 0 0 1
2,341,818 0 0 0 0 1
108,798 0 0 0 0 1
1,445,275 0 0 0 0 1
838,690 0 0 0 0 1
1,124,805 0 0 0 0 1
bow 0 0 2 8 0
valley 2 1 0 23 13
bvi 0 0 0 2 0
norwegian 17 0 1 4 0
elf 1 0 0 1 0
aquitain 1 0 0 1 0
norg 4 0 0 2 0
a/ 16 0 0 4 5
stavang 0 0 0 1 0
norway 24 0 0 3 2
heimdal 0 0 0 1 0
condens 5 0 0 3 2
offshor 44 0 5 5 5
templeton 0 0 0 2 1
tmpl 0 0 0 0 1
967,000 0 1 0 0 1
1,219,000 0 0 0 0 1
688,000 0 0 0 0 2
982,000 0 0 0 0 2
16.3 3 1 0 3 11
chemic 5 1 2 91 58
apd 0 0 0 2 1
bhp 0 0 0 16 16
hill 5 2 0 16 11
pti 1 2 0 16 6
brkn. 1 0 0 3 3
620 0 0 0 1 3
tomorrow 8 11 31 15 7
poll 2 0 11 2 6
813.0 0 0 0 0 5
988.2 0 0 0 0 2
220 2 1 0 2 2
238.6 0 0 0 0 3
220.3 0 0 0 0 2
397.0 0 0 0 0 1
589.3 0 0 0 0 1
upturn 2 0 3 0 3
bass 8 0 0 47 2
strait 21 0 0 3 3
coal 13 0 3 30 17
lowest-earn 0 0 0 0 1
owe 4 1 4 4 3
break 9 8 8 4 11
expenditur 26 4 5 0 22
saw 10 4 8 7 14
920 0 0 0 0 2
surpris 2 1 12 14 3
difficult 10 11 21 11 15
herrington 52 0 0 0 0
white 25 9 4 14 0
fill 11 1 0 1 4
strateg 21 1 0 18 11
35,000 6 6 0 4 8
100,000 15 16 0 7 5
alway 2 6 5 5 6
kept 8 3 5 1 1
budgetari 1 0 1 0 1
constraint 1 4 1 0 1
shown 8 2 3 3 4
extract 6 0 1 2 0
uneconom 3 0 0 0 2
conjunct 2 0 2 2 2
matter 5 13 12 19 3
centuri 5 3 0 6 3
reli 6 5 6 1 2
pose 4 3 4 0 2
seriou 5 11 8 12 5
threat 14 8 5 2 6
leucadia 0 0 0 8 1
luk 0 0 0 1 1
minstar 0 0 0 20 1
mnst 0 0 0 3 1
raider 0 0 0 8 1
irwin 0 0 0 8 0
jacob 0 0 0 29 6
him 7 2 9 16 1
foray 0 0 1 1 0
lnc 0 0 0 1 2
newark 0 0 0 2 0
del 0 0 0 8 5
st 3 11 1 21 14
loui 0 8 0 6 0
1,261,000 0 0 0 1 0
11.0 0 2 0 2 10
313,200 0 0 0 1 0
947,800 0 0 0 1 0
24.7 0 0 0 1 4
tlc 0 0 0 1 0
salt 0 0 0 6 1
citi 2 16 6 65 37
utah 4 0 0 16 1
whose 6 1 5 16 7
stcm.si 0 0 0 0 1
8.7 1 0 0 2 10
9.0 0 1 1 2 9
23.5 0 0 0 0 11
212.7 0 0 0 0 1
595.4 0 0 0 0 1
wheat/bean 0 1 0 0 0
inspect 2 21 0 1 1
guess 0 10 3 1 1
27.0 0 2 0 0 7
32.0 0 1 0 0 3
bushel 1 98 0 0 0
27.6 0 2 0 0 8
20.5 0 1 0 0 9
14.0 0 4 0 0 12
25.5 0 2 0 4 4
18.3 0 1 0 0 5
carson 0 0 0 8 5
piri 0 0 0 0 2
scott 0 0 1 11 15
crn 0 0 0 1 3
17-1/2 0 0 0 0 6
5 2 16 5 7 12
m-corp 0 0 0 0 2
semi-annu 0 2 1 0 12
nf 0 0 0 0 2
nfsf 0 0 0 0 1
tektronix 0 0 0 0 4
ctw 0 0 0 0 2
39 4 4 2 1 42
nippon 5 2 0 53 10
bonu 1 69 0 1 36
ncol.t 0 0 0 0 1
one-for-20 0 0 0 0 1
placement 1 0 2 16 7
1980 6 6 3 4 5
65.02 0 0 0 0 1
61.92 0 0 0 0 1
regist 4 7 1 11 20
1,260 0 0 0 0 1
uniforc 0 0 0 0 3
unfr 0 0 0 0 2
556,036 0 0 0 0 1
403,945 0 0 0 0 1
15.6 2 0 1 3 11
3,132,555 0 0 0 0 1
2,934,285 0 0 0 0 1
1,805,229 0 0 0 0 1
1,400,247 0 0 0 0 1
60.1 0 0 0 0 4
3,012,917 0 0 0 0 1
2,940,219 0 0 0 0 1
altex 0 0 0 4 1
aii 0 0 0 1 0
denver-bas 0 0 0 1 0
integr 1 3 5 32 9
micro-comput 0 0 0 1 0
jim 2 3 1 5 5
walter 4 0 2 10 6
jwc 0 0 0 1 3
niki-lu 0 0 0 0 1
38 4 0 3 18 57
577,000 0 0 0 0 2
1,147,000 0 0 0 0 1
19.8 0 2 0 2 11
3,227,625 0 0 0 0 1
3,057,206 0 0 0 0 1
sturm 0 0 0 2 0
ruger 0 0 0 2 0
smith 7 1 9 10 15
wesson 0 0 0 4 0
excess 6 12 25 22 14
firearm 0 0 0 1 0
lear 1 0 0 15 1
siegler 0 0 0 12 0
forstman 0 0 0 1 0
stanley 2 0 2 11 10
swk 0 0 0 1 1
property-casualti 0 0 0 0 6
mutual 0 1 2 34 8
66.8 0 0 0 0 3
fourth-largest 0 0 0 0 1
106 0 0 2 0 6
62.8 0 1 0 0 3
859 0 0 0 0 1
policyhold 0 0 0 1 1
710 0 0 0 0 3
person 5 5 8 29 10
auto 0 0 2 17 5
coverag 0 7 0 1 5
unpreced 0 0 2 1 1
576 0 0 0 0 1
282 0 0 0 0 4
775 0 0 1 0 1
559 0 0 0 0 2
ottawa 0 4 0 4 0
cater 0 0 0 1 2
whitehal 3 0 0 1 1
wht 0 0 0 0 1
557,000 0 0 0 0 1
2,020,000 0 0 0 0 1
8,872,000 0 0 0 0 1
13,908,000 0 0 0 0 1
2.52 2 1 0 0 3
2,198,000 0 0 0 0 1
9,313,000 0 0 0 0 1
36.9 1 0 1 0 3
55.7 0 0 0 0 3
macmillan 1 0 0 0 4
bloedel 0 0 0 0 4
mmblf 0 0 0 0 1
amoskeag 0 0 0 10 1
care 4 5 13 42 13
conc 0 0 0 0 1
59,700 0 0 0 0 1
27,300 0 0 0 0 1
3,123,900 0 0 0 0 1
1,911,900 0 0 0 0 1
94,100 0 0 0 0 1
81,600 0 0 0 0 1
9,802,000 0 0 0 0 1
5,922,000 0 0 0 0 1
9,000 0 2 0 0 4
1,900 0 0 0 1 1
18,000 0 3 0 1 1
21,000 0 0 0 0 2
ice 5 0 0 5 1
soviet 18 257 2 5 0
port 40 31 0 5 2
ventspil 3 0 0 0 0
baltic 2 6 0 3 0
compact 1 0 0 2 2
drift 2 0 1 0 0
cm 1 0 0 0 3
thick 3 0 0 0 0
finnish 2 0 0 0 0
navig 7 0 0 1 2
icebreak 1 0 0 0 0
harbour 2 1 0 2 1
reinforc 1 2 8 1 1
klaipeda 1 0 0 0 0
paolo 0 0 0 4 0
di 1 0 0 6 2
torino 0 0 0 2 0
californian 0 0 0 1 1
bancario 0 0 0 1 0
fully-own 0 0 0 3 0
wilmington 1 0 0 1 1
relev 0 1 1 2 0
bodi 2 2 3 9 6
lo 0 2 0 38 4
angel 0 0 0 36 4
banca 0 0 0 3 4
d'america 0 0 0 2 1
e 2 1 0 12 9
d'italia 0 0 0 2 1
47.3 0 0 0 0 5
3,691.0 0 0 0 0 1
3,419.0 0 0 0 0 1
2,448.0 0 0 0 0 1
2,181.5 0 0 0 0 1
bankamerica 0 0 2 21 17
bk.n 0 0 0 1 1
dbkg.f 0 0 1 3 3
variou 6 8 8 29 11
set-asid 0 4 0 0 1
burden 4 2 9 0 7
morn 5 10 74 22 10
1.85 0 3 3 2 9
midday 1 3 8 3 1
1.71 0 1 1 0 8
ati 0 0 0 0 1
atim 0 0 0 0 1
118,933 0 0 0 0 1
296,272 0 0 0 0 1
2,742,731 0 0 0 0 1
1,840,129 0 0 0 0 1
92,372 0 0 0 0 1
444,975 0 0 0 0 1
4,977,105 0 0 0 0 1
3,296,110 0 0 0 0 1
seagram 0 0 0 1 3
vo 0 0 0 0 1
4.45 0 2 0 0 5
3.44 3 0 0 0 4
4.30 0 0 1 1 5
3.34 0 2 1 0 3
423.5 0 0 0 0 1
319.1 0 0 0 0 1
2.97 1 0 2 0 1
95.1 0 0 0 0 1
92.6 0 0 0 0 2
du 1 0 3 12 7
pont 1 0 0 9 6
dd 3 0 0 3 5
169.1 0 0 0 0 3
75.7 1 0 0 0 2
154.1 0 0 0 0 1
150.8 0 0 0 0 1
35.0 0 0 1 0 4
wine 0 1 0 4 1
reorgan 3 6 0 12 23
spirit 0 0 4 4 1
27.7 0 1 2 0 2
louisiana-pacif 0 0 0 2 0
lpx 0 0 0 3 0
sawmil 0 0 0 8 1
lakeview 0 0 0 1 0
timberland 0 0 0 1 1
ostrand 0 0 0 1 0
transaciton 0 0 0 1 0
shoould 0 0 0 1 0
cobanco 0 0 0 0 1
cbco 0 0 0 0 1
1.19 0 1 0 2 14
807,000 0 0 0 0 1
2,858,000 0 0 0 0 1
510.2 0 0 0 0 1
479.7 0 1 0 0 1
472.3 0 0 0 0 1
440.3 0 0 0 0 1
299.2 0 0 0 0 1
327.2 0 0 0 0 1
82.19 0 0 0 0 3
68.82 0 0 0 0 3
point/borg-warn 0 0 0 1 0
bor 0 0 0 11 0
borg-warn 0 0 0 80 0
vigor 0 1 1 6 1
resist 12 6 10 11 0
gaf 0 0 0 44 2
46-dlr-per-shar 0 0 0 1 0
midwest 0 11 0 8 4
conglomer 1 0 0 9 4
escap 0 0 0 1 0
specul 5 21 41 78 4
1-3/8 1 0 1 5 0
48-1/2 0 0 0 2 0
feisti 0 0 0 1 0
samuel 0 0 0 6 1
heyman 0 0 0 16 0
tough 3 2 0 2 1
seem 3 5 29 10 1
acquiesc 0 0 0 1 0
instinct 0 0 0 1 0
heer 0 0 0 1 0
duff 0 0 0 2 2
phelp 0 0 0 1 2
sieg 0 0 0 2 0
vehicl 1 1 1 7 8
9.1 1 1 0 4 10
stonewal 0 0 0 1 0
dullest 0 0 0 1 0
battl 4 2 2 15 1
've 8 8 7 7 4
breakup 0 0 0 11 0
span 0 0 1 2 0
easili 0 3 4 3 0
3.16 0 3 0 2 10
enrich 0 0 0 1 0
unsuccess 2 0 1 18 1
carbid 0 0 0 13 5
borg 0 0 0 5 0
warner 0 0 0 11 0
ca 0 0 4 7 3
quibbl 0 0 0 1 0
rock 1 1 0 2 0
persh 0 0 0 2 0
richard 3 24 3 14 6
henderson 0 2 0 3 4
goodyear 2 0 0 18 2
tire 1 0 0 55 4
rubber 2 6 1 10 2
goldsmith 0 0 0 3 1
junk 0 0 0 4 0
expert 1 1 3 4 0
drexel 0 2 0 18 7
burnham 0 2 0 14 8
lambert 0 1 0 17 10
job 10 2 14 7 12
overlap 0 0 0 1 0
1-5/8 0 0 1 3 3
48-5/8 0 0 0 1 0
obvious 1 1 1 7 1
oppenheim 0 0 0 18 5
charl 4 8 0 16 3
thermo-plast 0 0 0 1 0
applianc 0 0 0 10 0
technic 8 3 17 10 8
player 0 0 0 2 3
innov 0 0 2 4 2
dow 0 0 0 13 13
monsanto 0 0 0 6 0
mtc 0 0 0 4 0
automot 0 0 0 7 16
protect 28 11 9 41 5
fargo 0 0 0 7 3
guard 5 0 2 8 0
206.1 0 0 0 1 0
2.35 0 0 1 1 5
3.62 0 0 0 1 1
80.7 0 0 0 1 2
2.22 0 0 0 1 4
753.8 0 0 0 1 0
201.4 0 0 0 1 2
penwest 0 0 0 0 1
penw 0 0 0 0 1
85 0 10 7 10 27
2,381,000 0 0 0 0 2
754,000 0 0 0 0 2
35.3 0 0 0 0 3
32.6 0 0 0 0 6
2,777,620 0 0 0 0 2
3,161,603 0 0 0 0 2
3,756,000 0 0 0 0 1
1,388,000 0 0 0 0 2
65.8 0 0 0 0 2
64.3 0 1 0 0 3
vse 0 0 0 0 1
vsec 0 0 0 0 1
886,937 0 0 0 0 1
892,323 0 0 0 0 1
25.9 0 0 0 0 6
23.7 0 1 0 0 7
1.78 1 0 0 0 19
3,254,301 0 0 0 0 1
2,472,676 0 0 0 0 1
100.6 0 0 0 0 2
87.4 0 1 0 0 1
metcap 0 0 0 0 2
14,881 0 0 0 0 1
311,848 0 0 0 0 1
108,598 0 0 0 0 1
298,412 0 0 0 0 1
indiana 2 9 0 5 12
ifsl 0 0 0 0 1
492,000 0 0 0 0 4
677,000 0 0 0 0 1
2,650,000 0 0 0 0 3
2,566,000 0 0 0 0 2
nrm 0 0 0 0 2
pcro 0 0 0 0 1
audit 1 0 0 1 20
jr 0 0 0 13 4
tuition 0 0 0 0 1
consult 6 5 4 15 2
cours 7 5 9 16 3
atco 0 0 0 0 9
edmonton 3 0 0 1 1
calgari 1 0 0 3 2
togeth 6 2 8 27 10
australian 15 29 18 17 22
114 0 0 1 2 3
after-tax 0 0 0 7 22
webcor 0 0 0 0 4
wer 1 0 0 0 2
revolv 0 0 0 8 5
lender 0 0 1 10 13
4.0 5 1 6 2 15
eastpark 0 0 0 0 2
ert 0 0 0 0 2
qlti 0 0 0 0 1
savannah 0 0 0 1 2
sav 0 0 0 0 1
nobel 0 0 0 8 0
bofor 0 0 0 2 0
sweden 6 0 0 24 2
sa 4 0 0 30 11
nobl.st 0 0 0 2 0
arm 5 6 2 16 5
alli 6 0 7 34 7
ordnanc 0 0 0 5 0
weapon 0 0 1 4 1
contraven 2 0 0 1 0
event 2 4 8 15 3
uncov 0 0 0 1 0
unaccept 1 0 3 2 0
highli 3 4 7 17 1
regrett 0 0 0 2 0
lars-erik 0 0 0 1 0
thunholm 0 0 0 1 0
ander 0 0 0 1 0
carlberg 0 0 0 1 0
reveal 2 0 4 7 1
smuggl 0 0 1 1 0
4.31 0 0 0 0 1
donald 2 0 0 20 5
clark 0 0 0 12 2
excel 0 4 2 2 13
29-mar-1987 2 0 0 0 0
fairfield 0 0 0 2 1
fci 0 2 0 0 2
mo 0 1 0 1 3
1.62 0 0 0 3 15
17.2 2 1 0 0 6
264.0 0 0 0 0 1
338.0 0 0 0 0 1
conrac 0 0 0 36 0
cax 0 0 0 7 0
25-dlr-per-shar 0 0 0 2 0
iv 0 6 0 59 0
soni 0 0 0 0 4
forese 6 0 4 3 10
slump 7 1 4 2 7
sne.t 0 0 0 0 1
65 6 7 4 32 37
yendollar 0 0 0 0 1
tsunao 0 0 0 0 1
hashimoto 0 0 0 0 4
irregular 0 0 0 0 1
five-month 0 1 0 0 2
550 0 0 10 3 3
7.65 0 0 1 0 1
59.2 0 0 0 2 1
343.06 0 0 0 0 1
gloomi 0 0 0 1 1
159 0 1 0 1 1
8-mm 0 0 0 0 2
video 0 0 0 37 14
camera/record 0 0 0 0 1
beta-format 0 0 0 0 2
tape 0 0 0 3 2
vtr 0 0 0 0 3
350,000 0 5 0 3 2
disc 0 0 0 10 2
walkman 0 0 0 0 1
2.25 1 3 0 3 6
1.30 1 3 0 0 17
televis 12 0 7 48 16
exceed 12 8 10 16 38
68.2 0 0 0 0 5
71.3 0 0 2 0 2
400 5 6 11 19 10
1,325 0 0 0 0 1
ausimont 0 0 0 2 2
compo 0 0 0 2 2
au 0 0 0 1 2
nv 0 0 2 19 20
machineri 1 1 2 11 6
modest 5 3 9 2 9
mexican 6 0 0 1 2
15.25 4 0 0 0 1
preliminari 6 9 3 22 13
petroleo 16 0 0 0 0
mexicano 5 0 0 0 0
pemex 12 0 0 0 0
1.99 3 0 0 1 10
420 2 0 0 1 3
favour 10 8 17 11 2
1.320 2 0 0 0 0
1.324 2 0 0 0 0
1.323 2 0 0 0 0
1.395 2 0 0 0 0
retreat 2 1 4 1 0
cautiou 2 2 10 2 1
downward 4 4 17 1 5
narrow 2 5 26 2 2
750 3 2 14 1 1
1.23 0 4 1 0 18
13.82 1 0 1 0 0
jump 4 4 4 4 11
0.6858/63 0 0 1 0 0
0.6875 0 0 2 0 0
0.6864/69 0 0 1 0 0
gone 3 2 5 3 0
0.6820 0 0 1 0 0
banqu 1 0 2 11 1
bnpp.a 0 0 1 0 0
nicol 0 0 2 0 0
lloyd 5 1 2 3 13
nza 0 0 1 0 1
buttros 0 0 3 0 0
2.77 1 0 1 0 1
2.99 0 3 1 0 4
rural 0 8 2 1 0
iron 0 1 1 6 3
rememb 0 0 2 0 1
someth 1 3 9 7 3
simpli 2 3 10 5 1
away 4 4 10 6 6
anz 0 0 1 0 0
anza. 0 0 1 0 0
ian 1 0 3 0 0
fob 0 26 1 0 0
2.74 0 0 1 1 4
respond 6 4 10 18 7
90-day 0 2 1 0 1
16.42-16.45 0 0 1 0 0
16.50 6 0 1 5 1
16.65 0 0 1 0 0
10-year 1 3 4 2 0
13.66/68 0 0 1 0 0
13.74 0 0 1 0 0
13.87 0 0 1 0 0
midsess 0 0 3 0 0
biotech 0 0 0 2 1
laboratori 0 0 0 9 26
btrl 0 0 0 0 1
63,761 0 0 0 0 1
43,006 0 0 0 0 1
1,961,219 0 0 0 0 1
1,413,859 0 0 0 0 1
380,273 0 0 0 0 1
1,108,151 0 0 0 0 1
6,245,012 0 0 0 0 1
5,368,522 0 0 0 0 1
5,950,000 0 0 0 0 1
5,462,547 0 0 0 0 1
ci 0 0 0 3 2
cih 0 0 0 1 0
swiss 0 0 25 16 31
reinsur 0 0 0 2 3
zurich 0 0 0 4 4
switzerland 2 2 5 9 2
re 0 0 0 2 2
5.5 2 4 3 11 16
acuqir 0 0 0 1 0
500,000 7 26 0 18 14
biolog 0 0 0 0 1
nbio 0 0 0 0 1
99,000 0 0 0 0 6
327,000 0 0 0 1 2
8,800,000 0 0 0 0 1
841,000 0 0 0 0 2
956,000 0 0 0 0 1
44.1 0 1 0 0 9
34.4 0 0 0 1 5
15.3 1 0 0 2 7
8,519,677 0 0 0 0 1
299,000 0 0 0 0 7
29,00000 0 0 0 0 1
809,000 0 0 0 0 4
71,000 0 0 0 1 3
diamond 15 0 0 11 9
shamrock 14 0 0 14 8
dia 4 0 0 3 1
post 80 13 4 27 55
grade 44 8 0 1 1
intermedi 20 6 0 1 4
wti 25 0 0 0 0
benchmark 18 0 1 0 0
17.00 13 0 0 0 0
bbl 38 0 0 0 0
join 4 4 17 21 3
sun 14 0 0 22 17
coastal 6 2 1 23 1
citgo 10 0 0 0 0
murphi 4 0 0 0 1
rotterdam 2 14 0 0 0
handler 0 5 0 0 0
graan 0 4 0 0 0
elev 0 27 1 3 0
mij 0 4 0 0 0
gem 0 5 0 0 0
oilse 0 20 0 0 0
70,000 0 9 0 2 2
10,000 4 10 2 2 8
arriv 14 11 1 1 0
192,000 0 2 0 0 1
discharg 6 3 0 1 0
25,000 2 21 1 1 3
plu 4 4 12 46 17
45,000 1 2 1 1 3
487,000 0 1 0 0 1
107,000 0 1 0 0 1
grains/oilse 0 3 0 0 0
380,000 2 1 0 2 0
95 1 5 3 12 20
traffic 2 8 0 11 15
ecuador 148 2 0 0 1
auster 6 0 0 0 0
quak 15 0 0 0 0
opec 354 0 1 0 0
paralyz 1 0 0 0 0
earthquak 35 0 0 0 2
javier 7 0 0 0 0
espinosa 9 0 0 0 0
ministri 42 27 57 30 7
majeur 4 0 0 0 0
fernando 11 0 0 1 0
santo 22 0 0 14 4
alvit 19 0 0 0 0
repair 29 1 0 3 0
pipelin 85 0 0 9 9
link 13 7 16 15 4
amazon 5 0 0 0 0
basin 17 2 0 5 5
ocean 7 3 0 1 2
thursday 5 7 16 8 2
12-point 5 0 1 0 0
mercal 5 0 0 0 0
scale 7 5 4 10 4
centr 1 1 10 7 11
reventador 2 0 0 0 0
volcano 3 0 0 0 0
km 21 0 0 2 4
mile 25 1 0 5 16
quito 5 0 0 0 0
pump 20 1 0 12 1
260,000 7 0 0 0 2
aviat 1 0 0 34 9
petrol 5 0 0 1 2
weekend 6 6 12 7 2
holiday 2 0 2 10 4
weekday 1 0 0 0 0
communiqu 9 0 2 0 1
chfd 0 0 0 2 0
jefferson 1 0 0 7 2
bristol 0 0 0 3 1
va 0 0 0 8 0
warrenton 0 0 0 1 0
thrift 0 0 0 6 2
30.50 0 0 0 1 0
360 0 0 3 1 3
844.0 0 0 0 1 0
indonesian 14 3 3 1 2
calendar 2 12 3 2 15
pertamina 7 0 0 0 2
crash 3 0 2 0 0
jumardi 2 0 0 0 0
jukardi 3 0 0 0 0
110 1 1 3 17 2
431 1 0 0 0 0
108 1 1 0 0 1
330 1 0 0 1 1
cml 0 0 0 0 1
cmli 0 0 0 0 1
4,791,000 0 0 0 0 1
3,803,000 0 0 0 0 1
83.0 0 0 0 1 2
72.0 0 0 0 0 3
6,668,309 0 0 0 0 1
6,545,722 0 0 0 0 1
88 1 0 0 1 17
5,872,000 0 0 0 0 1
4,614,000 0 0 0 0 1
141.6 0 0 0 0 1
121.8 0 0 0 0 1
6,669,488 0 0 0 0 1
6,525,051 0 0 0 0 1
thai 0 3 0 5 0
84,960 0 1 0 0 0
80,498 0 1 0 0 0
27,510 0 1 0 0 0
57,450 0 1 0 0 0
79,448 0 1 0 0 0
79,014 0 1 0 0 0
689,038 0 1 0 0 0
556,874 0 1 0 0 0
658,999 0 1 0 0 0
spartech 0 0 0 0 7
sptn 0 0 0 0 3
369,000 0 0 0 0 4
347,000 0 0 0 2 3
21.3 2 0 0 1 4
gami 0 0 0 1 1
5,187,000 0 0 0 0 1
5,362,000 0 0 0 0 1
128.4 1 0 0 0 2
50.3 0 0 0 0 11
7,015,000 0 0 0 0 1
6,790,000 0 0 0 0 1
264.7 0 0 0 0 1
97.3 0 0 0 0 1
modulin 0 0 0 0 1
mdln 0 0 0 0 1
92 0 14 0 1 17
28,045 0 0 0 0 1
1,040,700 0 0 0 0 1
4,943,584 0 0 0 0 1
5,613,400 0 0 0 0 1
124,434 0 0 0 0 1
1,054,000 0 0 0 0 3
22.6 1 1 0 0 12
26.3 0 1 0 1 5
moudulin 0 0 0 0 1
ten 2 12 2 14 12
conagra 0 0 0 14 4
cag 0 0 0 3 2
monfort 0 0 0 8 3
mmft 0 0 0 1 0
colorado 2 1 0 11 8
10.75 0 0 0 1 2
356.5 0 0 0 1 0
upcom 1 5 3 2 3
5.9 0 1 0 10 11
lamb 0 2 0 2 0
beef 0 9 1 6 0
transport 20 20 1 70 26
tighten 4 5 15 0 1
steep 4 0 8 0 2
goods-produc 0 0 2 0 0
detract 0 0 1 0 0
non-farm 1 0 5 0 0
payrol 1 0 5 1 0
164,000 0 0 1 1 5
220,000 1 0 1 1 1
50,000 14 10 1 6 8
momentum 2 1 8 0 7
taper 1 0 1 0 2
stephen 1 0 2 3 0
flag 8 2 2 9 1
eas 9 8 51 5 7
wyss 0 0 3 0 0
236,000 0 0 1 0 2
337,000 0 0 2 0 1
left 9 11 17 13 5
first-quart 0 0 2 0 11
suggest 8 10 36 22 4
second-quart 0 0 1 0 2
sullivan 0 0 1 5 2
dean 1 2 1 2 8
witter 1 0 1 2 1
monthli 9 9 7 2 23
237,000 0 0 1 1 0
254,000 0 0 1 0 2
subdu 0 0 3 0 0
possibilti 0 0 2 0 0
exchange-rel 0 0 1 0 0
workweek 0 0 2 0 0
34.8 0 1 1 0 4
hour 4 6 20 14 1
41.2 0 0 1 0 6
concentr 0 3 3 20 13
automobil 0 0 1 4 4
brusca 0 0 2 0 0
nikko 0 0 5 0 0
build-up 0 0 1 1 0
caught 1 0 2 1 1
slower 2 1 4 0 4
ahead 10 10 25 7 11
1.0-1.5 0 0 1 0 0
light 36 10 11 13 21
inordin 0 0 2 0 0
0.5 2 0 5 0 3
0.9 1 1 1 0 2
steve 0 0 1 0 0
slifer 0 0 2 0 0
lehman 4 1 7 34 2
1.851 0 0 1 0 0
1.804 0 0 1 0 0
unemploy 0 1 4 0 0
6.6 1 0 1 8 9
119.2 0 0 1 0 1
119.35 0 0 1 0 0
fewer 1 0 2 1 3
2.5-3.0 0 0 1 0 0
afford 3 2 2 0 1
smooth 0 1 4 0 0
underst 0 1 1 0 0
overst 0 2 1 0 0
consist 5 7 16 27 10
silfer 0 0 1 0 0
inclin 2 0 3 0 0
likelihood 2 1 1 3 2
wo 3 6 6 6 1
regardless 0 3 3 0 1
chi-chi 0 0 0 0 5
chic 0 0 0 0 2
2,144,317 0 0 0 0 2
72.9 0 0 0 0 2
67.4 0 0 0 0 2
5,747,393 0 0 0 0 1
224.6 0 0 0 0 2
200.6 0 0 0 0 1
20.0 0 4 0 1 10
disposit 0 0 0 5 14
underperform 0 0 0 0 6
company-own 0 0 0 2 4
3,205,000 0 0 0 0 1
7,305,000 0 0 0 0 2
166 0 0 1 1 2
local 7 10 32 18 17
10-3/8 0 0 7 0 0
94 7 0 1 3 18
10-5/16 0 0 7 0 0
213 0 0 1 0 2
polyest 0 0 0 0 5
fiber 0 2 0 0 10
writeoff 0 0 2 1 28
connect 4 2 2 32 22
partially-ori 0 0 0 0 1
filament 0 0 0 0 1
yarn 0 0 0 2 1
poy 0 0 0 0 3
carolina 0 0 0 1 18
s.c 0 0 0 0 1
idl 3 10 0 0 3
older 0 2 0 1 2
stapl 1 2 0 0 3
225 1 1 0 3 2
tennesse 0 1 0 2 1
kingsport 0 0 0 0 3
tenn 0 0 0 4 3
voluntari 2 2 0 2 3
holsten 0 0 0 0 1
exit 0 0 0 1 1
kodel 0 0 0 0 1
lesser 1 0 3 3 1
phase 5 2 4 1 6
1,350 0 0 0 0 1
10,800 0 0 0 0 1
insignific 0 2 4 0 1
instabl 0 0 7 0 1
sumita 0 0 78 0 0
satoshi 0 0 18 0 0
rapid 1 2 13 5 4
stave 0 0 2 0 0
anyth 6 2 13 1 3
free-fal 0 0 6 0 0
amvestor 0 0 0 0 3
avfc 0 0 0 0 2
zy 0 0 0 0 2
t.j 0 0 0 0 1
maxx 0 0 0 0 1
miss 2 0 3 4 2
shop 1 0 1 13 11
bj 0 0 0 0 1
homeclub 0 0 0 0 1
warehous 0 3 0 1 7
89.0 0 0 0 0 2
1.49 0 2 0 0 5
94.6 0 0 0 0 2
43.8 0 0 1 1 10
36.5 0 0 0 0 7
wagner/brown 0 0 0 1 0
composit 0 0 1 7 1
90.50 0 0 0 1 0
newspap 17 7 9 50 6
unless 8 7 13 34 4
suffici 2 2 5 10 8
enough 7 15 30 14 9
51 1 1 10 41 56
invalid 0 0 0 5 0
long-form 0 0 0 1 0
fcc 0 0 0 8 4
articl 1 2 2 7 3
cumul 2 8 1 14 12
latter 1 0 3 7 3
harder 1 1 4 2 0
minor 1 2 1 24 45
elect 3 0 27 22 6
list 2 7 3 30 17
dissemin 0 0 0 5 0
22.3 0 0 0 3 4
2.23 0 1 0 2 4
1.44 3 0 0 2 9
withdrew 1 1 2 10 0
emerg 25 18 9 20 6
complic 0 0 3 5 0
eventu 10 1 5 9 4
1.66 0 1 0 2 8
plasticmak 0 0 0 1 0
aerospac 0 0 1 34 8
challeng 3 3 1 23 6
radio 8 1 0 21 2
licens 6 2 5 28 5
becuas 0 0 0 1 0
